"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.53","48.57","MALAHAT","1014820","2010-02-06","2010","02","06","","8.2","","4.4","","6.3","","11.7","","0.0","","","M","","M","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2010-02-07","2010","02","07","","6.8","","5.1","","6.0","","12.0","","0.0","","","M","","M","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2010-02-08","2010","02","08","","6.4","","2.9","","4.7","","13.3","","0.0","","","M","","M","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2010-02-09","2010","02","09","","5.3","","0.9","","3.1","","14.9","","0.0","","","M","","M","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2010-02-10","2010","02","10","","3.7","","2.1","","2.9","","15.1","","0.0","","","M","","M","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2010-02-11","2010","02","11","","7.4","","3.6","","5.5","","12.5","","0.0","","","M","","M","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2010-02-12","2010","02","12","","8.3","","4.7","","6.5","","11.5","","0.0","","","M","","M","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2010-02-13","2010","02","13","","7.2","","4.6","","5.9","","12.1","","0.0","","","M","","M","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2010-02-14","2010","02","14","","10.1","","4.3","","7.2","","10.8","","0.0","","","M","","M","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2010-02-15","2010","02","15","","6.0","","3.7","","4.9","","13.1","","0.0","","","M","","M","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2010-02-16","2010","02","16","","9.2","","2.9","","6.1","","11.9","","0.0","","","M","","M","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2010-02-17","2010","02","17","","8.1","","2.5","","5.3","","12.7","","0.0","","","M","","M","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2010-02-18","2010","02","18","","8.8","","4.2","","6.5","","11.5","","0.0","","","M","","M","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2010-02-19","2010","02","19","","10.4","","4.2","","7.3","","10.7","","0.0","","","M","","M","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2010-02-20","2010","02","20","","9.5","","4.3","","6.9","","11.1","","0.0","","","M","","M","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2010-02-21","2010","02","21","","10.0","","3.4","","6.7","","11.3","","0.0","","","M","","M","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2010-02-22","2010","02","22","","8.2","","2.4","","5.3","","12.7","","0.0","","","M","","M","","M","","","","M","","M"
